cloud.google.com/go/auth	v0.2.0
cloud.google.com/go/auth/oauth2adapt	v0.2.0
cloud.google.com/go/compute/metadata	v0.3.0
github.com/davecgh/go-spew	v1.1.1
github.com/denisenkom/go-mssqldb	v0.12.3
github.com/felixge/httpsnoop	v1.0.4
github.com/go-errors/errors	v1.5.1
github.com/go-logr/logr	v1.4.1
github.com/go-logr/stdr	v1.2.2
github.com/go-sql-driver/mysql	v1.7.0
github.com/golang-sql/civil	v0.0.0-20190719163853-cb61b32ac6fe
github.com/golang-sql/sqlexp	v0.1.0
github.com/golang/groupcache	v0.0.0-20210331224755-41bb18bfe9da
github.com/golang/protobuf	v1.5.4
github.com/google/go-cmp	v0.5.9
github.com/google/s2a-go	v0.1.7
github.com/google/uuid	v1.6.0
github.com/googleapis/enterprise-certificate-proxy	v0.3.2
github.com/googleapis/gax-go/v2	v2.12.3
github.com/kr/pretty	v0.3.0
github.com/kr/text	v0.2.0
github.com/lunixbochs/vtclean	v1.0.0
github.com/mattn/go-sqlite3	v1.14.16
github.com/pkg/errors	v0.9.1
github.com/pmezard/go-difflib	v1.0.0
github.com/rogpeppe/go-internal	v1.9.0
github.com/stretchr/testify	v1.9.0
github.com/viant/afs	v1.25.1-0.20231110184132-877ed98abca1
github.com/viant/assertly	v0.9.1-0.20220620174148-bab013f93a60
github.com/viant/dsunit	v0.10.10
github.com/viant/scy	v0.33.5
github.com/viant/toolbox	v0.36.0
github.com/viant/xreflect	v0.6.2
github.com/viant/xunsafe	v0.9.3-0.20240530173106-69808f27713b
go.opencensus.io	v0.24.0
go.opentelemetry.io/contrib/instrumentation/net/http/otelhttp	v0.49.0
go.opentelemetry.io/otel	v1.24.0
go.opentelemetry.io/otel/metric	v1.24.0
go.opentelemetry.io/otel/trace	v1.24.0
golang.org/x/crypto	v0.32.0
golang.org/x/mod	v0.17.0
golang.org/x/net	v0.34.0
golang.org/x/oauth2	v0.19.0
golang.org/x/sys	v0.29.0
golang.org/x/term	v0.28.0
golang.org/x/text	v0.21.0
google.golang.org/api	v0.174.0
google.golang.org/appengine	v1.6.7
google.golang.org/genproto/googleapis/rpc	v0.0.0-20240415180920-8c6c420018be
google.golang.org/grpc	v1.63.2
google.golang.org/protobuf	v1.33.0
gopkg.in/check.v1	v1.0.0-20201130134442-10cb98267c6c
gopkg.in/yaml.v2	v2.4.0
gopkg.in/yaml.v3	v3.0.1
